Equipe,Posicao,Nome,PPG,RPG,APG,Altura,Peso,País,Idade,Data_de_nascimento,DRAFT,Experiência,Mês
Philadelphia 76ers,Center,Andre Drummond,7.3,7.8,0.9,2.11,127,USA,31 years,1993-08-10,2012 R1 Pick 9,12 Years,8
NA,NA,Chris Duarte,2.1,1.2,0.5,1.96,86,Dominican Republic,27 years,1997-06-13,2021 R1 Pick 13,3 Years,6
Oklahoma City Thunder,Guard,Alex Ducas,1.5,1.0,0.2,2.01,100,Australia,24 years,2000-12-11,Undrafted,Rookie,12
San Antonio Spurs,Guard,David Duke Jr.,1.3,0.8,0.8,1.93,93,USA,25 years,1999-10-13,Undrafted,3 Years,10
LA Clippers,Guard,Kris Dunn,6.1,3.5,3.0,1.91,93,USA,31 years,1994-03-18,2016 R1 Pick 5,8 Years,3
Phoenix Suns,Forward,Ryan Dunn,6.4,3.2,0.8,2.03,98,USA,22 years,2003-01-07,2024 R1 Pick 28,Rookie,1
Phoenix Suns,Forward,Kevin Durant,26.6,6.1,4.4,2.11,109,USA,36 years,1988-09-29,2007 R1 Pick 2,16 Years,9
Detroit Pistons,Center,Jalen Duren,11.5,10.3,2.5,2.08,113,USA,21 years,2003-11-18,2022 R1 Pick 13,2 Years,11
Houston Rockets,Forward,Tari Eason,12.4,6.4,1.4,2.03,98,USA,23 years,2001-05-10,2022 R1 Pick 17,2 Years,5
Memphis Grizzlies,Center,Zach Edey,9.2,7.7,0.9,2.24,138,Canada,22 years,2002-05-14,2024 R1 Pick 9,Rookie,5
Minnesota Timberwolves,Guard,Anthony Edwards,27.5,5.8,4.6,1.93,102,USA,23 years,2001-08-05,2020 R1 Pick 1,4 Years,8
Minnesota Timberwolves,Center,Jesse Edwards,--,--,0.5,2.13,107,Netherlands,25 years,2000-03-18,Undrafted,Rookie,3
Philadelphia 76ers,Forward,Justin Edwards,9.4,3.1,1.5,2.01,92,USA,21 years,2003-12-16,Undrafted,Rookie,12
Dallas Mavericks,Forward,Kessler Edwards,4.3,2.8,1.1,2.01,92,USA,24 years,2000-08-09,2021 R2 Pick 44,3 Years,8
Sacramento Kings,Guard,Keon Ellis,8.4,2.6,1.4,1.93,79,USA,25 years,2000-01-08,Undrafted,2 Years,1
Philadelphia 76ers,Center-Forward,Joel Embiid,23.8,8.2,4.5,2.13,127,Cameroon,31 years,1994-03-16,2014 R1 Pick 3,8 Years,3
Brooklyn Nets,Guard,Tyson Etienne,--,--,--,1.88,91,USA,25 years,1999-09-17,Undrafted,Rookie,9
LA Clippers,Forward-Center,Drew Eubanks,5.1,4.0,1.0,2.08,111,USA,28 years,1997-02-01,Undrafted,6 Years,2
Brooklyn Nets,Forward,Tosan Evbuomwan,9.4,4.0,1.6,2.01,98,United Kingdom,24 years,2001-02-16,Undrafted,1 Year,2
Dallas Mavericks,Guard,Dant� Exum,9.1,1.7,2.8,1.96,97,Australia,29 years,1995-07-13,2014 R1 Pick 5,7 Years,7
NA,NA,Bruno Fernando,3.4,3.0,1.1,2.06,109,Angola,26 years,1998-08-15,2019 R2 Pick 34,5 Years,8
Utah Jazz,Center,Kyle Filipowski,8.6,5.4,1.9,2.11,113,USA,21 years,2003-11-07,2024 R2 Pick 32,Rookie,11
Los Angeles Lakers,Forward,Dorian Finney-Smith,8.3,3.9,1.4,2.01,100,USA,31 years,1993-05-04,Undrafted,8 Years,5
Oklahoma City Thunder,Guard,Adam Flagler,1.5,0.6,0.3,1.91,82,USA,25 years,1999-12-01,Undrafted,1 Year,12
LA Clippers,Forward,Trentyn Flowers,4.5,2.0,--,2.06,84,USA,20 years,2005-03-08,Undrafted,Rookie,3
NA,NA,Malachi Flynn,4.0,1.8,1.8,1.85,84,USA,26 years,1998-05-09,2020 R1 Pick 29,4 Years,5
Detroit Pistons,Forward,Simone Fontecchio,6.2,3.0,0.9,2.01,95,Italy,29 years,1995-12-09,Undrafted,2 Years,12
San Antonio Spurs,Guard,De'Aaron Fox,23.5,4.8,6.3,1.91,84,USA,27 years,1997-12-20,2017 R1 Pick 5,7 Years,12
Indiana Pacers,Forward,Enrique Freeman,1.7,1.0,0.4,2.01,100,USA,24 years,2000-07-29,2024 R2 Pick 50,Rookie,7
Sacramento Kings,Guard,Markelle Fultz,2.4,0.6,0.8,1.93,95,USA,26 years,1998-05-29,2017 R1 Pick 1,7 Years,5
Indiana Pacers,Guard,Johnny Furphy,1.6,1.2,0.2,2.06,91,Australia,20 years,2004-12-08,2024 R2 Pick 35,Rookie,12
Dallas Mavericks,Forward-Center,Daniel Gafford,12.3,6.9,1.4,2.08,120,USA,26 years,1998-10-01,2019 R2 Pick 38,5 Years,10
Cleveland Cavaliers,Guard,Darius Garland,20.9,2.7,6.7,1.85,87,USA,25 years,2000-01-26,2019 R1 Pick 5,5 Years,1
