Equipe,Posicao,Nome,PPG,RPG,APG,Altura,Peso,País,Idade,Data_de_nascimento,DRAFT,Experiência,Mês
Utah Jazz,Center,Walker Kessler,11.4,12.3,1.7,2.13,111,USA,23 years,2001-07-26,2022 R1 Pick 22,2 Years,7
Golden State Warriors,Forward,Braxton Key,1.1,0.9,0.5,2.03,102,USA,28 years,1997-02-14,Undrafted,3 Years,2
Washington Wizards,Forward,Corey Kispert,11.6,3.0,1.7,1.98,102,USA,26 years,1999-03-03,2021 R1 Pick 15,3 Years,3
Los Angeles Lakers,Forward,Maxi Kleber,3.0,2.8,1.3,2.08,109,Germany,33 years,1992-01-29,Undrafted,7 Years,1
Detroit Pistons,Forward,Bobi Klintman,--,0.7,0.2,2.06,102,Sweden,22 years,2003-03-06,2024 R2 Pick 37,Rookie,3
Los Angeles Lakers,Forward,Dalton Knecht,9.6,3.0,0.9,1.98,98,USA,23 years,2001-04-19,2024 R1 Pick 17,Rookie,4
NA,NA,Kevin Knox II,4.0,1.6,0.6,2.03,98,USA,25 years,1999-08-11,2018 R1 Pick 9,6 Years,8
New York Knicks,Guard,Tyler Kolek,1.8,0.5,0.9,1.91,88,USA,23 years,2001-03-27,2024 R2 Pick 34,Rookie,3
Los Angeles Lakers,Center,Christian Koloko,2.5,2.4,0.5,2.13,102,Cameroon,24 years,2000-06-20,2022 R2 Pick 33,1 Year,6
Memphis Grizzlies,Guard,John Konchar,2.4,3.3,0.9,1.96,95,USA,29 years,1996-03-22,Undrafted,5 Years,3
Boston Celtics,Center-Forward,Luke Kornet,5.2,5.0,1.5,2.16,113,USA,29 years,1995-07-15,Undrafted,7 Years,7
Atlanta Hawks,Guard,V�t Krej?�,6.9,2.6,2.7,2.03,88,Czech Republic,24 years,2000-06-19,2020 R2 Pick 37,3 Years,6
Golden State Warriors,Forward,Jonathan Kuminga,16.3,4.7,2.3,2.01,102,DRC,22 years,2002-10-06,2021 R1 Pick 7,3 Years,10
Milwaukee Bucks,Forward,Kyle Kuzma,14.7,6.2,2.3,2.06,100,USA,29 years,1995-07-24,2017 R1 Pick 27,7 Years,7
NA,NA,Skal Labissiere,1.3,0.8,0.3,2.08,107,Haiti,29 years,1996-03-18,2016 R1 Pick 28,4 Years,3
Houston Rockets,Center,Jock Landale,4.0,3.1,0.8,2.11,116,Australia,29 years,1995-10-25,Undrafted,3 Years,10
Sacramento Kings,Forward,Jake LaRavia,7.0,4.0,2.4,2.01,107,USA,23 years,2001-11-03,2022 R1 Pick 19,2 Years,11
Miami Heat,Guard,Pelle Larsson,3.9,1.4,0.9,1.96,98,Sweden,24 years,2001-02-23,2024 R2 Pick 44,Rookie,2
Sacramento Kings,Guard,Zach LaVine,23.2,4.5,4.3,1.96,91,USA,30 years,1995-03-10,2014 R1 Pick 13,10 Years,3
Toronto Raptors,Guard,A.J. Lawson,9.1,3.2,0.9,1.98,81,Canada,24 years,2000-07-15,Undrafted,2 Years,7
Phoenix Suns,Guard-Forward,Damion Lee,3.3,0.8,0.5,1.98,95,USA,32 years,1992-10-21,Undrafted,6 Years,10
Los Angeles Lakers,Center,Alex Len,1.6,2.1,0.8,2.13,113,Ukraine,31 years,1993-06-16,2013 R1 Pick 5,11 Years,6
LA Clippers,Forward,Kawhi Leonard,19.7,5.4,3.0,2.01,102,USA,33 years,1991-06-29,2011 R1 Pick 15,12 Years,6
NA,NA,Malevy Leons,0.3,0.5,0.2,2.06,95,Netherlands,25 years,1999-09-23,Undrafted,Rookie,9
Atlanta Hawks,Guard,Caris LeVert,11.9,3.1,3.4,1.98,93,USA,30 years,1994-08-25,2016 R1 Pick 20,8 Years,8
Brooklyn Nets,Forward,Maxwell Lewis,2.7,1.2,0.5,2.01,98,USA,22 years,2002-07-27,2023 R2 Pick 40,1 Year,7
Chicago Bulls,Forward,E.J. Liddell,2.1,0.7,0.4,1.98,109,USA,24 years,2000-12-18,2022 R2 Pick 41,1 Year,12
Milwaukee Bucks,Guard,Damian Lillard,24.9,4.7,7.1,1.88,88,USA,34 years,1990-07-15,2012 R1 Pick 6,12 Years,7
Dallas Mavericks,Center,Dereck Lively II,9.1,7.8,2.6,2.16,104,USA,21 years,2004-02-12,2023 R1 Pick 12,1 Year,2
Milwaukee Bucks,Forward,Chris Livingston,1.2,1.4,0.1,1.98,100,USA,21 years,2003-10-15,2023 R2 Pick 58,1 Year,10
Golden State Warriors,Forward,Kevon Looney,4.7,6.3,1.6,2.06,101,USA,29 years,1996-02-06,2015 R1 Pick 30,9 Years,2
Milwaukee Bucks,Center,Brook Lopez,12.7,5.0,1.7,2.16,128,USA,36 years,1988-04-01,2008 R1 Pick 10,16 Years,4
Miami Heat,Forward-Center,Kevin Love,5.3,4.1,1.0,2.03,114,USA,36 years,1988-09-07,2008 R1 Pick 5,16 Years,9
Philadelphia 76ers,Guard,Kyle Lowry,4.0,2.0,2.8,1.83,89,USA,38 years,1986-03-25,2006 R1 Pick 24,18 Years,3
LA Clippers,Guard-Forward,Seth Lundy,1.6,0.8,--,1.93,100,USA,24 years,2000-04-02,2023 R2 Pick 46,1 Year,4
Sacramento Kings,Forward,Trey Lyles,6.5,4.6,1.2,2.06,106,Canada,29 years,1995-11-05,2015 R1 Pick 12,9 Years,11
San Antonio Spurs,Forward-Center,Sandro Mamukelashvili,5.6,2.6,0.6,2.06,109,Georgia,25 years,1999-05-23,2021 R2 Pick 54,3 Years,5
Atlanta Hawks,Guard-Forward,Terance Mann,7.2,2.9,1.8,1.96,98,USA,28 years,1996-10-18,2019 R2 Pick 48,5 Years,10
Charlotte Hornets,Guard,Tre Mann,14.1,2.9,3.0,1.91,81,USA,24 years,2001-02-03,2021 R1 Pick 18,3 Years,2
Utah Jazz,Forward-Center,Lauri Markkanen,19.0,5.9,1.5,2.13,109,Finland,27 years,1997-05-22,2017 R1 Pick 7,7 Years,5
Dallas Mavericks,Forward,Naji Marshall,12.9,4.8,2.9,1.98,100,USA,27 years,1998-01-24,Undrafted,4 Years,1
Dallas Mavericks,Forward,Caleb Martin,8.4,4.1,2.2,1.96,93,USA,29 years,1995-09-28,Undrafted,5 Years,9
Phoenix Suns,Forward,Cody Martin,7.5,4.5,2.2,1.98,93,USA,29 years,1995-09-28,2019 R2 Pick 36,5 Years,9
Washington Wizards,Guard,Jaylen Martin,3.3,2.1,0.4,1.98,98,USA,21 years,2004-01-28,Undrafted,Rookie,1
Utah Jazz,Forward,KJ Martin,6.5,3.1,1.0,1.98,98,USA,24 years,2001-01-06,2020 R2 Pick 52,4 Years,1
Brooklyn Nets,Forward,Tyrese Martin,8.5,3.6,1.9,1.98,98,USA,26 years,1999-03-07,2022 R2 Pick 51,1 Year,3
Atlanta Hawks,Guard,Garrison Mathews,7.6,1.8,1.3,1.98,98,USA,28 years,1996-10-24,Undrafted,5 Years,10
Indiana Pacers,Guard-Forward,Bennedict Mathurin,16.2,5.4,1.9,1.96,95,Canada,22 years,2002-06-19,2022 R1 Pick 6,2 Years,6
New Orleans Pelicans,Forward-Center,Karlo Matkovi?,6.4,4.6,1.0,2.08,105,Bosnia and Herzegovina,23 years,2001-03-30,2022 R2 Pick 52,Rookie,3
Philadelphia 76ers,Guard,Tyrese Maxey,26.3,3.3,6.1,1.88,91,USA,24 years,2000-11-04,2020 R1 Pick 21,4 Years,11
New York Knicks,Guard,Miles McBride,9.4,2.5,2.9,1.85,88,USA,24 years,2000-09-08,2021 R2 Pick 36,3 Years,9
Philadelphia 76ers,Guard,Jared McCain,15.3,2.4,2.6,1.91,88,USA,21 years,2004-02-20,2024 R1 Pick 16,Rookie,2
Orlando Magic,Guard,Mac McClung,--,0.5,1.5,1.88,84,USA,26 years,1999-01-06,Undrafted,2 Years,1
New Orleans Pelicans,Guard,CJ McCollum,20.8,3.8,4.0,1.91,86,USA,33 years,1991-09-19,2013 R1 Pick 10,11 Years,9
Indiana Pacers,Guard,T.J. McConnell,9.2,2.4,4.5,1.85,86,USA,32 years,1992-03-25,2015,9 Years,3
New York Knicks,Guard,Kevin McCullar Jr.,--,--,--,1.98,95,USA,24 years,2001-03-15,2024 R2 Pick 56,Rookie,3
Minnesota Timberwolves,Forward,Jaden McDaniels,12.7,6.0,2.1,2.06,84,USA,24 years,2000-09-29,2020 R1 Pick 28,4 Years,9
NA,NA,Jalen McDaniels,--,--,0.3,2.06,86,USA,27 years,1998-01-31,2019 R2 Pick 52,5 Years,1
Sacramento Kings,Forward,Doug McDermott,3.1,0.5,0.1,1.98,102,USA,33 years,1992-01-03,2014 R1 Pick 11,10 Years,1
Portland Trail Blazers,Guard,Bryce McGowens,1.0,0.2,0.2,1.98,86,USA,22 years,2002-11-08,2022 R2 Pick 40,2 Years,11
San Antonio Spurs,Guard,Jordan McLaughlin,1.9,0.6,0.9,1.83,84,USA,28 years,1996-04-09,Undrafted,5 Years,4
Houston Rockets,Guard-Forward,Jack McVeigh,2.0,0.6,0.1,2.03,98,Australia,28 years,1996-06-27,Undrafted,Rookie,6
Brooklyn Nets,Guard,De'Anthony Melton,10.3,3.3,2.8,1.91,91,USA,26 years,1998-05-28,2018 R2 Pick 46,6 Years,5
Cleveland Cavaliers,Guard,Sam Merrill,7.0,2.1,1.4,1.93,93,USA,28 years,1996-05-15,2020 R2 Pick 60,4 Years,5
Phoenix Suns,Guard,Vasilije Mici?,7.1,2.3,3.3,1.91,85,Serbia,31 years,1994-01-13,2014 R2 Pick 52,1 Year,1
Washington Wizards,Forward,Khris Middleton,12.1,3.8,4.1,2.01,101,USA,33 years,1991-08-12,2012 R2 Pick 39,12 Years,8
Charlotte Hornets,Forward,Brandon Miller,21.0,4.9,3.6,2.01,91,USA,22 years,2002-11-22,2023 R1 Pick 2,1 Year,11
Chicago Bulls,Forward,Emanuel Miller,--,--,--,2.01,98,Canada,24 years,2000-06-19,Undrafted,Rookie,6
LA Clippers,Guard,Jordan Miller,4.4,1.7,1.0,1.96,88,USA,25 years,2000-01-23,2023 R2 Pick 48,1 Year,1
Minnesota Timberwolves,Forward,Leonard Miller,1.8,1.1,--,2.08,100,Canada,21 years,2003-11-26,2023 R2 Pick 33,1 Year,11
LA Clippers,Guard,Patty Mills,3.6,0.8,1.0,1.88,82,Australia,36 years,1988-08-11,2009 R2 Pick 55,15 Years,8
Los Angeles Lakers,Guard,Shake Milton,5.6,1.9,1.9,1.96,93,USA,28 years,1996-09-26,2018 R2 Pick 54,6 Years,9
Portland Trail Blazers,Forward,Justin Minaya,--,0.4,0.2,1.96,93,USA,25 years,1999-03-26,Undrafted,2 Years,3
San Antonio Spurs,Forward,Riley Minix,--,2.0,--,2.01,104,USA,24 years,2000-09-22,Undrafted,Rookie,9
Minnesota Timberwolves,Forward,Josh Minott,2.3,1.1,0.4,2.03,93,USA,22 years,2002-11-25,2022 R2 Pick 45,2 Years,11
New Orleans Pelicans,Center,Yves Missi,8.8,8.0,1.3,2.11,107,Cameroon,20 years,2004-05-14,2024 R1 Pick 21,Rookie,5
Oklahoma City Thunder,Guard,Ajay Mitchell,6.4,2.0,1.7,1.96,86,Belgium,22 years,2002-06-25,2024 R2 Pick 38,Rookie,6
Miami Heat,Guard,Davion Mitchell,7.2,2.1,4.6,1.83,92,USA,26 years,1998-09-05,2021 R1 Pick 9,3 Years,9
Cleveland Cavaliers,Guard,Donovan Mitchell,23.8,4.4,4.8,1.91,98,USA,28 years,1996-09-07,2017 R1 Pick 13,7 Years,9
Cleveland Cavaliers,Center,Evan Mobley,18.7,9.3,3.1,2.11,98,USA,23 years,2001-06-18,2021 R1 Pick 3,3 Years,6
Toronto Raptors,Forward,Jonathan Mogbo,5.3,4.2,1.7,2.06,102,USA,23 years,2001-10-29,2024 R2 Pick 31,Rookie,10
Sacramento Kings,Guard,Malik Monk,18.1,3.8,5.9,1.91,91,USA,27 years,1998-02-04,2017 R1 Pick 11,7 Years,2
Golden State Warriors,Guard,Moses Moody,10.0,2.5,1.3,1.96,96,USA,22 years,2002-05-31,2021 R1 Pick 14,3 Years,5
NA,NA,Taz� Moore,3.0,4.0,0.5,1.96,88,USA,26 years,1998-06-29,Undrafted,1 Year,6
Charlotte Hornets,Guard,Wendell Moore Jr.,3.9,2.6,1.2,1.96,98,USA,23 years,2001-09-18,2022 R1 Pick 26,2 Years,9
Memphis Grizzlies,Guard,Ja Morant,22.3,4.1,7.4,1.88,79,USA,25 years,1999-08-10,2019 R1 Pick 2,5 Years,8
Los Angeles Lakers,Forward,Markieff Morris,3.2,1.4,1.1,2.06,111,USA,35 years,1989-09-02,2011 R1 Pick 13,13 Years,9
Phoenix Suns,Guard,Mont� Morris,5.0,1.4,1.6,1.88,83,USA,29 years,1995-06-27,2017 R2 Pick 51,7 Years,6
New Orleans Pelicans,Forward,Trey Murphy III,21.2,5.1,3.5,2.03,93,USA,24 years,2000-06-18,2021 R1 Pick 17,3 Years,6
New Orleans Pelicans,Guard,Dejounte Murray,17.5,6.5,7.4,1.93,82,USA,28 years,1996-09-19,2016 R1 Pick 29,7 Years,9
Denver Nuggets,Guard,Jamal Murray,21.3,3.8,6.0,1.93,98,Canada,28 years,1997-02-23,2016 R1 Pick 7,7 Years,2
Sacramento Kings,Forward,Keegan Murray,12.3,6.8,1.5,2.03,102,USA,24 years,2000-08-19,2022 R1 Pick 4,2 Years,8
Portland Trail Blazers,Forward,Kris Murray,4.0,2.5,0.9,2.03,98,USA,24 years,2000-08-19,2023 R1 Pick 23,1 Year,8
Utah Jazz,Guard-Forward,Svi Mykhailiuk,9.1,2.4,1.9,2.01,93,Ukraine,27 years,1997-06-10,2018 R2 Pick 47,6 Years,6
Milwaukee Bucks,Forward,Pete Nance,1.9,1.1,0.3,2.08,102,USA,25 years,2000-02-19,Undrafted,1 Year,2
Atlanta Hawks,Forward-Center,Larry Nance Jr.,8.5,4.3,1.6,2.03,111,USA,32 years,1993-01-01,2015 R1 Pick 27,9 Years,1
Indiana Pacers,Guard-Forward,Andrew Nembhard,10.3,3.1,5.1,1.93,87,Canada,25 years,2000-01-16,2022 R2 Pick 31,2 Years,1
Indiana Pacers,Guard-Forward,Aaron Nesmith,11.3,3.8,1.4,1.98,98,USA,25 years,1999-10-16,2020 R1 Pick 14,4 Years,10
Minnesota Timberwolves,Guard,Tristen Newton,0.4,0.5,0.3,1.96,86,USA,23 years,2001-04-26,2024 R2 Pick 49,Rookie,4
Atlanta Hawks,Forward,Georges Niang,9.8,3.7,1.4,2.01,104,USA,31 years,1993-06-17,2016 R2 Pick 50,8 Years,6
NA,NA,Daishen Nix,0.3,1.3,1.0,1.93,108,USA,23 years,2002-02-13,Undrafted,3 Years,2
Denver Nuggets,Forward-Center,Zeke Nnaji,3.1,1.6,0.3,2.06,109,USA,24 years,2001-01-09,2020 R1 Pick 22,4 Years,1
Boston Celtics,Forward,Miles Norris,--,2.0,--,2.01,100,USA,24 years,2000-04-15,Undrafted,Rookie,4
NA,NA,Jaylen Nowell,8.4,2.5,2.3,1.93,91,USA,25 years,1999-07-09,2019 R2 Pick 43,5 Years,7
Charlotte Hornets,Center,Jusuf Nurki?,8.2,8.3,2.1,2.13,132,Bosnia and Herzegovina,30 years,1994-08-23,2014 R1 Pick 16,10 Years,8
NA,NA,Jahlil Okafor,--,1.0,1.0,2.08,122,USA,29 years,1995-12-15,2015 R1 Pick 3,6 Years,12
Philadelphia 76ers,Forward,Chuma Okeke,5.6,5.2,1.4,2.01,104,USA,26 years,1998-08-18,2019 R1 Pick 16,4 Years,8
Charlotte Hornets,Guard,Josh Okogie,6.9,3.0,0.8,1.93,97,Nigeria,26 years,1998-09-01,2018 R1 Pick 20,6 Years,9
Atlanta Hawks,Forward-Center,Onyeka Okongwu,13.0,8.6,2.3,2.08,109,USA,24 years,2000-12-11,2020 R1 Pick 6,4 Years,12
Cleveland Cavaliers,Forward-Guard,Isaac Okoro,5.6,2.2,1.3,1.96,102,USA,24 years,2001-01-26,2020 R1 Pick 5,4 Years,1
NA,NA,Quincy Olivari,1.5,--,0.5,1.91,91,USA,23 years,2001-05-27,Undrafted,Rookie,5
New Orleans Pelicans,Forward-Center,Kelly Olynyk,8.4,4.6,2.7,2.11,109,Canada,33 years,1991-04-19,2013 R1 Pick 13,11 Years,4
Phoenix Suns,Forward,Royce O'Neale,9.4,5.0,2.2,1.98,103,USA,31 years,1993-06-05,Undrafted,7 Years,6
Philadelphia 76ers,Forward-Guard,Kelly Oubre Jr.,15.1,6.1,1.8,2.03,92,USA,29 years,1995-12-09,2015 R1 Pick 15,9 Years,12
San Antonio Spurs,Guard,Chris Paul,8.9,3.7,7.8,1.83,79,USA,39 years,1985-05-06,2005 R1 Pick 4,19 Years,5
New York Knicks,Guard,Cameron Payne,6.9,1.4,2.8,1.91,83,USA,30 years,1994-08-08,2015 R1 Pick 14,9 Years,8
New Orleans Pelicans,Guard,Elfrid Payton,3.8,2.6,4.9,1.91,88,USA,31 years,1994-02-22,2014 R1 Pick 10,8 Years,2
Golden State Warriors,Guard,Gary Payton II,6.6,2.9,1.3,1.88,88,USA,32 years,1992-12-01,Undrafted,8 Years,12
Boston Celtics,Forward,Drew Peterson,2.2,1.6,0.7,2.06,93,USA,25 years,1999-11-09,Undrafted,1 Year,11
Chicago Bulls,Forward,Julian Phillips,4.6,2.1,0.5,2.03,90,USA,21 years,2003-11-05,2023 R2 Pick 35,1 Year,11
Denver Nuggets,Guard,Jalen Pickett,3.6,1.2,1.9,1.88,92,USA,25 years,1999-10-22,2023 R2 Pick 32,1 Year,10
Memphis Grizzlies,Guard,Scotty Pippen Jr.,9.4,3.3,4.3,1.85,77,USA,24 years,2000-11-10,Undrafted,2 Years,11
Atlanta Hawks,Guard-Forward,Daeqwon Plowden,12.0,2.5,--,1.98,98,USA,26 years,1998-08-29,Undrafted,Rookie,8
Phoenix Suns,Forward-Center,Mason Plumlee,4.5,6.3,1.8,2.08,115,USA,35 years,1990-03-05,2013 R1 Pick 22,11 Years,3
Golden State Warriors,Guard,Brandin Podziemski,10.5,4.9,3.3,1.93,93,USA,22 years,2003-02-25,2023 R1 Pick 19,1 Year,2
Toronto Raptors,Center,Jakob Poeltl,14.3,9.6,2.8,2.13,118,Austria,29 years,1995-10-15,2016 R1 Pick 9,8 Years,10
Washington Wizards,Guard,Jordan Poole,20.5,3.2,4.6,1.93,88,USA,25 years,1999-06-19,2019 R1 Pick 28,5 Years,6
Cleveland Cavaliers,Guard,Craig Porter Jr.,2.9,1.1,1.3,1.85,82,USA,25 years,2000-02-26,Undrafted,1 Year,2
Milwaukee Bucks,Guard-Forward,Kevin Porter Jr.,9.5,3.5,3.2,1.93,92,USA,24 years,2000-05-04,2019 R1 Pick 30,4 Years,5
Denver Nuggets,Forward,Michael Porter Jr.,18.2,6.9,2.1,2.08,99,USA,26 years,1998-06-29,2018 R1 Pick 14,5 Years,6
Milwaukee Bucks,Forward,Bobby Portis,13.7,8.3,2.2,2.08,113,USA,30 years,1995-02-10,2015 R1 Pick 22,9 Years,2
Boston Celtics,Forward-Center,Kristaps Porzi??is,19.5,6.9,2.0,2.18,109,Latvia,29 years,1995-08-02,2015 R1 Pick 4,8 Years,8
Golden State Warriors,Center,Quinten Post,8.7,3.8,1.4,2.13,108,Netherlands,25 years,2000-03-21,2024 R2 Pick 52,Rookie,3
Utah Jazz,Center,Micah Potter,4.2,4.2,0.8,2.06,112,USA,26 years,1998-04-06,Undrafted,3 Years,4
Dallas Mavericks,Forward-Center,Dwight Powell,2.1,2.2,1.0,2.08,109,Canada,33 years,1991-07-20,2014 R2 Pick 45,10 Years,7
LA Clippers,Guard,Norman Powell,23.0,3.4,2.1,1.93,98,USA,31 years,1993-05-25,2015 R2 Pick 46,9 Years,5
Milwaukee Bucks,Forward,Taurean Prince,8.2,3.7,2.0,1.98,99,USA,31 years,1994-03-22,2016 R1 Pick 12,8 Years,3
Boston Celtics,Guard,Payton Pritchard,14.1,3.7,3.4,1.85,88,USA,27 years,1998-01-28,2020 R1 Pick 26,4 Years,1
Dallas Mavericks,Forward,Olivier-Maxence Prosper,3.9,2.4,0.8,2.01,104,Canada,22 years,2002-07-03,2023 R1 Pick 24,1 Year,7
Memphis Grizzlies, Guard,Zyon Pullin,--,--,--,1.93,93,USA,24 years,2001-03-03,Undrafted,Rookie,3
Orlando Magic,Guard,Trevelin Queen,4.3,1.6,1.2,1.96,86,USA,28 years,1997-02-25,Undrafted,3 Years,2
Boston Celtics,Center,Neemias Queta,5.0,3.9,0.6,2.13,112,Portugal,25 years,1999-07-13,2021 R2 Pick 39,3 Years,7
Toronto Raptors,Guard,Immanuel Quickley,17.3,3.6,5.6,1.88,86,USA,25 years,1999-06-17,2020 R1 Pick 25,4 Years,6
New Orleans Pelicans,Guard,Lester Quinones,2.3,1.0,0.3,1.93,94,USA,24 years,2000-11-16,Undrafted,2 Years,11
Minnesota Timberwolves,Forward-Center,Julius Randle,18.7,7.0,4.6,2.06,113,USA,30 years,1994-11-29,2014 R1 Pick 7,10 Years,11
Portland Trail Blazers,Center,Duop Reath,4.1,1.9,0.6,2.06,111,South Sudan,28 years,1996-06-26,Undrafted,1 Year,6
Los Angeles Lakers,Guard,Austin Reaves,19.7,4.5,6.0,1.96,89,USA,26 years,1998-05-29,Undrafted,3 Years,5
Los Angeles Lakers,Forward-Guard,Cam Reddish,3.2,2.0,0.7,2.01,98,USA,25 years,1999-09-01,2019 R1 Pick 10,5 Years,9
Detroit Pistons,Forward,Paul Reed,4.1,2.6,0.9,2.06,95,USA,25 years,1999-06-14,2020 R2 Pick 58,4 Years,6
Philadelphia 76ers,Forward-Center,Alex Reese,4.9,3.0,0.2,2.06,111,USA,25 years,1999-05-21,Undrafted,Rookie,5
New Orleans Pelicans,Guard,Antonio Reeves,4.5,1.1,0.7,1.96,93,USA,22 years,2002-11-20,2024 R2 Pick 47,Rookie,11
Minnesota Timberwolves,Center-Forward,Naz Reid,14.6,6.1,2.3,2.06,120,USA,25 years,1999-08-26,Undrafted,5 Years,8
Toronto Raptors,Guard,Jared Rhoden,7.1,3.0,0.8,1.96,95,USA,25 years,1999-08-27,Undrafted,2 Years,8
Phoenix Suns,Center,Nick Richards,9.7,8.4,1.0,2.13,111,Jamaica,27 years,1997-11-29,2020 R2 Pick 42,4 Years,11
NA,NA,Josh Richardson,4.0,1.5,1.5,1.96,91,USA,31 years,1993-09-15,2015 R2 Pick 40,9 Years,9
Atlanta Hawks,Forward,Zaccharie Risacher,11.9,3.7,1.2,2.03,91,France,19 years,2005-04-08,2024 R1 Pick 1,Rookie,4
NA,NA,Liam Robbins,0.7,0.9,0.2,2.13,113,USA,25 years,1999-07-12,Undrafted,Rookie,7
Miami Heat,Forward,Duncan Robinson,11.1,2.3,2.5,2.01,98,USA,30 years,1994-04-22,Undrafted,6 Years,4
New York Knicks,Center-Forward,Mitchell Robinson,5.5,5.5,0.5,2.13,109,USA,26 years,1998-04-01,2018 R2 Pick 36,6 Years,4
Toronto Raptors,Center,Orlando Robinson,6.0,4.4,1.6,2.08,107,USA,24 years,2000-07-10,Undrafted,2 Years,7
New Orleans Pelicans,Forward,Jeremiah Robinson-Earl,5.7,4.4,1.1,2.03,109,USA,24 years,2000-11-03,2021 R2 Pick 32,3 Years,11
Houston Rockets,Forward,David Roddy,4.7,2.6,1.1,1.93,116,USA,23 years,2001-03-27,2022 R1 Pick 23,2 Years,3
Milwaukee Bucks,Guard,Ryan Rollins,4.8,1.7,1.4,1.91,82,USA,22 years,2002-07-03,2022 R2 Pick 44,2 Years,7
Golden State Warriors,Forward,Jackson Rowe,3.2,1.6,0.6,2.01,95,Canada,28 years,1997-01-04,Undrafted,Rookie,1
Miami Heat,Guard,Terry Rozier,11.2,3.8,2.7,1.85,86,USA,31 years,1994-03-17,2015 R1 Pick 16,9 Years,3
Portland Trail Blazers,Guard-Forward,Rayan Rupert,2.1,1.1,0.4,1.98,88,France,20 years,2004-05-31,2023 R2 Pick 43,1 Year,5
Brooklyn Nets,Guard,D'Angelo Russell,13.0,2.8,5.2,1.91,88,USA,29 years,1996-02-23,2015 R1 Pick 2,9 Years,2
NA,NA,Matt Ryan,1.5,0.4,0.2,1.98,98,USA,27 years,1997-04-17,Undrafted,3 Years,4
Sacramento Kings,Forward-Center,Domantas Sabonis,19.2,13.9,6.2,2.08,109,Lithuania,28 years,1996-05-03,2016 R1 Pick 11,8 Years,5
Charlotte Hornets,Forward,Tidjane Sala�n,5.3,4.2,1.1,2.03,94,France,19 years,2005-08-10,2024 R1 Pick 6,Rookie,8
NA,NA,Adama Sanogo,2.0,1.5,0.3,2.06,111,Mali,23 years,2002-02-12,Undrafted,1 Year,2
Golden State Warriors,Forward,Gui Santos,4.2,3.1,1.4,1.98,84,Brazil,22 years,2002-06-22,2022 R2 Pick 55,1 Year,6
Denver Nuggets,Forward-Center,Dario �ari?,3.5,3.3,1.5,2.08,102,Croatia,30 years,1994-04-08,2014 R1 Pick 12,7 Years,4
Washington Wizards,Center,Alex Sarr,12.7,6.7,2.3,2.13,93,France,19 years,2005-04-26,2024 R1 Pick 2,Rookie,4
Detroit Pistons,Guard,Marcus Sasser,5.7,1.1,2.2,1.88,88,USA,24 years,2000-09-21,2023 R1 Pick 25,1 Year,9
Boston Celtics,Guard,Baylor Scheierman,2.5,1.4,0.7,1.98,93,USA,24 years,2000-09-26,2024 R1 Pick 30,Rookie,9
Detroit Pistons,Guard,Dennis Schr�der,13.3,2.6,5.3,1.85,79,Germany,31 years,1993-09-15,2013 R1 Pick 17,11 Years,9
Houston Rockets,Center,Alperen Sengun,19.0,10.5,4.9,2.11,110,Turkey,22 years,2002-07-25,2021 R1 Pick 16,3 Years,7
Utah Jazz,Forward,Brice Sensabaugh,10.0,2.7,1.4,1.96,107,USA,21 years,2003-10-30,2023 R1 Pick 28,1 Year,10
Utah Jazz,Guard,Collin Sexton,18.3,2.9,4.2,1.91,86,USA,26 years,1999-01-04,2018 R1 Pick 8,6 Years,1
New York Knicks,Guard,Landry Shamet,3.9,1.0,0.5,1.93,86,USA,28 years,1997-03-13,2018 R1 Pick 26,6 Years,3
Minnesota Timberwolves,Guard-Forward,Terrence Shannon Jr.,4.6,1.5,1.0,1.98,98,USA,24 years,2000-07-30,2024 R1 Pick 27,Rookie,7
Brooklyn Nets,Center,Day'Ron Sharpe,7.9,6.6,1.8,2.06,120,USA,23 years,2001-11-06,2021 R1 Pick 29,3 Years,11
Portland Trail Blazers,Guard,Shaedon Sharpe,17.5,4.2,2.6,1.96,94,Canada,21 years,2003-05-30,2022 R1 Pick 7,2 Years,5
Toronto Raptors,Guard,Jamal Shead,6.3,1.4,3.8,1.85,91,USA,22 years,2002-07-24,2024 R2 Pick 45,Rookie,7
Indiana Pacers,Guard,Ben Sheppard,5.5,2.9,1.3,1.98,86,USA,23 years,2001-07-16,2023 R1 Pick 26,1 Year,7
Houston Rockets,Guard,Reed Sheppard,3.9,1.4,1.2,1.88,84,USA,20 years,2004-06-24,2024 R1 Pick 3,Rookie,6
Indiana Pacers,Forward,Pascal Siakam,20.9,7.0,3.4,2.03,111,Cameroon,30 years,1994-04-02,2016 R1 Pick 27,8 Years,4
LA Clippers,Guard-Forward,Ben Simmons,5.7,4.9,6.3,2.08,109,Australia,28 years,1996-07-20,2016 R1 Pick 1,6 Years,7
Portland Trail Blazers,Guard,Anfernee Simons,19.6,2.7,4.8,1.91,91,USA,25 years,1999-06-08,2018 R1 Pick 24,6 Years,6
Charlotte Hornets,Guard,KJ Simpson,7.3,2.8,2.8,1.83,86,USA,22 years,2002-08-08,2024 R2 Pick 42,Rookie,8
Milwaukee Bucks,Center,Jericho Sims,1.8,3.7,0.6,2.08,113,USA,26 years,1998-10-20,2021 R2 Pick 58,3 Years,10
